ID,Language_ID,Headword,Part_Of_Speech,HeadwordPDLMA,Sources
E0385,zai,guela guichu,s,gela gichu,EJG;JLC;RLC10;RLC14
E1217,zai,guela niza,s,gela niza,VC17
E0386,zai,guela zee,s,gela zee,EJG;JLC;ND;RLC10
E0388,zai,guenda bedxe,s,genda* bedxe,EJG;ND
E0040,zai,guenda bidxu cha'hui',s,genda* bi*dxu* cha!7wi,RLC04;RLC10
E1102,zai,guenda bidxu dani,s,genda* bi*dxu* (dani*),FSL12;FSL14
E0041,zai,guenda bidxu gui'xhi',s,genda* bi*dxu* gi7xi,RLC04;RLC10
E1142,zai,guenda bidxu ike bere,s,genda* bi*dxu* (ike) bere,FSL14
E0389,zai,guenda bidxu nisa,s,genda* bi*dxu* nisa,EJG;ND;VP;RCL10;RLC10;FSL12;RLC14;VOT14
E1152,zai,guenda dxiña,s,genda* dxinya,VG17
E0391,zai,guenda dxiña gui'xhi',s,genda* dxinya gi7xi,JLC;RLC10;FSL15
E0038,zai,guenda ruguu bini,s,genda+ r.u-g.uu bi-ni,JLC;RLC10;VC17
E0043,zai,guenda xunu,s,genda* zhunu,JLC;ND;VP;RLC04;RLC10
E1180,zai,guendahuidxe',s,genda+ wi*-dxe7*,VC17
E0394,zai,gueza,s,geza,EJG;JLC;VP;RGL03;RLC04;RLC10
E0465,zai,gui'ri' bidxi,s,gi7ri bidxi,JLC;VP;RLC10;VC17
E0467,zai,gui'ri' ziña,s,gi7ri zinya,JLC;ND;RGL03;FSL14;VC17
E0481,zai,gui'xhi',s,gi7xi,JLC;RLC04;RLC10
E1230,zai,gui'xhi' do,s,gi7xi do7,VC17
E0482,zai,gui'xhi' mangle,s,gi7xi ma*ngle,RGL03;RLC04;RLC10;VC17
E0483,zai,gui'xhi' ro',s,gi7xi ro!7,RGL03;RLC04;RLC10
E0396,zai,guibi,s,gibi,JLC;RLC10;VC17
E0395,zai,guicha guela,s,gicha gela,EJG;JLC;ND;RLC04;RLC10
E0398,zai,guichu,s,gichu,EJG;JLC;ND;VP;RLC04;RLC10
E0399,zai,guidi,s,gidi ladi,JLC;RLC10
E0400,zai,guidi ladi la guitu,s,gidi ladi la* gi^tu,JLC;RLC10
E0401,zai,guidi ladi sanjuan,s,gidi ladi sa-njwa!n,RLC04;RLC10
E0402,zai,guidi ladi yaga,s,gidi ladi yaga,JLC;RLC10
E0405,zai,guidxi,s,gidxi*,EJG;ND;VP;RLL14;VC17
E1274,zai,guie xuba',s,gye zhuba!7,VC17
E0522,zai,guie',s,gye7,JLC;RGL03;RLC10
E0523,zai,guie' abril,s,gye7 a-bri!l,RLC12;VC17
E0524,zai,guie' amapola,s,(gye7) amapo*la,RLC04;RLC10;VC17
E0567,zai,guie' arnica,s,gye7 a*rrni-ka,RLC04;RLC10
E0112,zai,guie' asusena,s,(gye7) asuse*na,BSL12
E0525,zai,guie' bandaga bata,s,gye7 ba-ndaga bata,RLC10
E0139,zai,guie' bandera,s,gye7 bande*ra,RLC04;RLC10
E0526,zai,guie' batuuba',s,gye7 ba-tuuba,JLC;RLC10
E0528,zai,guie' be'te',s,gye7 be7te,RLC04;RLC10;VC17
E0527,zai,guie' begu,s,gye7 begu*,RLC04;RLC10
E0529,zai,guie' bi'chi',s,gye7 bi7chi,EJG;JLC;ND;VP;RLC10;FSL14;RLC14;FSL15;RLC15
E1146,zai,guie' bi'chi' guiigu',s,gye7 bi7chi giigu,FSL15
E0530,zai,guie' bichiisa,s,gye7 bi-chii*sa*,JLC;RLC10
E1186,zai,guie' biga raagu',s,gye' biga raagu,VC17
E0531,zai,guie' bigua,s,(gye7) bi-gwa!,EJG;JLC;RLC04;RLC10;FSL14;RLC14;RLL14
E0532,zai,guie' biibi,s,gye7 bii*bi*,RLC10;RLC14
E0068,zai,guie' biri,s,gye' bi-ri*,EJG;JLC;FSL15;FSL16
E0533,zai,guie' bramboyan,s,gye7 brambo-ya!n,RLC04;RLC10;RLC14
E1177,zai,guie' cha'chi',s,gye7 cha7chi,EJG;ND;VP;RLC04;RLC10
E0537,zai,guie' cha'chi' gui'xhi',s,gye7 cha7chi gi7xi,BSL12;FSL15;VOT15
E1215,zai,guie' china,s,gye7 chi*na,RLC04;RLC10;VC17
E0538,zai,guie' chisme,s,gye7 chi*sme,RLC04;RLC10;FSL14
E1220,zai,guie' chita (naxhi),s,gye7 chita (naxi),VC17
E0539,zai,guie' chuga,s,gye7 chuga,RLC04;RLC10
E0534,zai,guie' clabel,s,gye7 klabe!l,FSL12
E1185,zai,guie' coros,s,(gye7) ko-ro!s,VC17
E0541,zai,guie' daana' cha'hui',s,gye7 daana cha!7wi,EJG;JLC;VP;RLC04;RCL10;RLC10;FSL14;RLC14;FSL15;VC17
E0542,zai,guie' daana' gui'xhi',s,gye7 daana gi7xi,EJG;JLC;VP;RLC04;RCL10;RLC10;FSL14;RLC14;FSL15
E0544,zai,guie' dani,s,gye7 dani*,RLC04;RLC10
E0104,zai,guie' de ti rratu,s,gye7 de+ ti+ rra*tu,JLC;RLC04;RLC10
E0547,zai,guie' duuza',s,gye7 duuza,RGL03;RLC10
E0548,zai,guie' fitufiu',s,(gye7) fi!tu-fi!wu7,JLC;RLC05;RLC10;FSL14;RLC14;FSL16
E0406,zai,guie' gade,s,gye7 ga*de*,FSL14;RLC14;FSL15
